physical asset,location,ownership,commodity,status,Countries
Gallup Refinery,"USA Coastal and Great Lakes States, International Jurisdictions In Which We Operate,  East Texas","MPLX LP, Marathon Petroleum Corporation","Crude Oil, Feedstocks, Refined Products, Renewable Diesel","Operational, End-Of-Life, Decommissioned, Under Construction, Decommissioning, Impaired","USA, N/A"
above ground storage tanks,"Anacortes, Washington, Puget Sound 

","Marathon Petroleum Corporation, MPLX LP","Canadian Crude, International Crudes, Crude Oil, Feedstocks, Refined Products, Renewable Fuels, Chemicals",Operational,"United States, Washington"
Anacortes Refinery,"Gallup Refinery, Martinez Refinery","MPLX LP, Marathon Petroleum Corporation",Renewable Diesel,"Decommissioned, Under Construction, Decommissioning",United States
Bakken Pipeline Joint Venture,"Lake Oahe, North Dakota, USA, US Coastal Areas, The Great Lakes, Inland Waterways of the USA, Martinez, California","MPLX LP,Marathon Petroleum Corporation","Oil, Petroleum Products, Crude Oil, Refined Products, Natural Gas, Natural Gas Liquids, Light Products, Heavy Oils, Renewable Diesel, Renewable Fuels, Chemicals, Higher Value Products",Operational,"USA, North Dakota, California"
Barges,"Refineries, Midstream Facilities",Marathon Petroleum Corporation,,Under Construction,"N/A 


Let me explain why:  ""Refineries, Midstream Facilities"" describes types of infrastructure, not geographical locations. They can exist in many countries and US states. To identify countries, we need specific location details like city names, regions, or addresses."
Canton Refinery,Ohio,Marathon Petroleum Corporation,"Oil, Crude Oil",,"United States, Ohio"
Crowley Ocean Partners Llc And Its Four Subsidiaries,Bakken Basin,MPLX LP,Oil,Operational,United States
Crude Oil Infrastructure,"Lake Oahe, North Dakota, USA","MPLX LP, Marathon Petroleum Corporation","Crude Oil, Refined Products, Gasoline, Distillates, Natural Gas, Natural Gas Liquids, Other Hydrocarbon-Based Products, Renewables","Operational, Impaired","USA, North Dakota"
Dakota Access Pipeline,"Dickinson, North Dakota",Marathon Petroleum Corporation,"Corn Oil, Soybean Oil, Fats And Greases",Operational,"United States, North Dakota"
Detroit Refinery,Detroit,Marathon Petroleum Corporation,"Oil, Crude Oil",,United States
"Dickinson, North Dakota (Renewable Fuels Facility)","Galveston Bay, Madison, Wisconsin",Marathon Petroleum Corporation,Biobased Feedstocks,"Under Construction, Operational","United States, Wisconsin"
Distillate Hydrotreater Project,Gallup,Marathon Petroleum Corporation,"Crude Oil, Refined Products",Operational,N/A
Distribution System,Martinez Refinery,"Marathon Petroleum Corporation, MPLX LP","Fuel, Natural Gas, Renewable Diesel","Operational, Under Construction, End-Of-Life",N/A
El Paso Refinery,Texas,Marathon Petroleum Corporation,"Oil, Crude Oil",,United States
Emission Controls,"Refineries, Pipelines, Processing Facilities, Fractionation Facilities, Treating Facilities","Marathon Petroleum Corporation, MPLX LP","Refined Products, Crude Oil, Natural Gas Liquids, Renewable Feedstocks, Petroleum-Based Transportation Fuels, Feedstocks, Renewable Fuels",Operational,N/A
Equipment,"Coastal States, Federal Lands, Native American Tribal Lands, Production Areas, Regulated Facilities, USA","Marathon Petroleum Corporation, MPLX LP, USA Army Corps of Engineers","Crude Oil, Refined Products, Natural Gas Liquids, Renewable Feedstocks, Fuel",Operational,USA
Facilities,"Various Locations, District Of Columbia","Marathon Petroleum Corporation, MPLX LP","Petroleum Products, Refined Products, Crude Oil ",Operational,United States
Four Product Tankers,"Galveston Bay, USA"," MPLX LP, Marathon Petroleum Corporation","Crude Oil, Refined Products, Natural Gas, Renewable Diesel, Natural Gas Liquids, Feedstocks",Operational,USA
Galveston Bay Refinery,"Marcellus Basin, Permian Basin",MPLX LP,"Natural Gas, Crude Oil, Refined Petroleum Products",Operational,USA
Gas Processing Plants,Washington,,"Crude Oil, Natural Gas, Natural Gas Liquids",Under Construction,"USA 🇺🇸 , Washington"
Gathering And Processing Facilities,"Findlay, Ohio, USA","MPLX LP, Marathon Petroleum Corporation","Crude Oil, Natural Gas, Refined Products",Operational,"USA, Ohio"
Information Technology Systems,,"Marathon Petroleum Corporation,MPLX LP","Refined Products, Crude Oil, Natural Gas, Natural Gas Liquids, Renewable Feedstocks",Operational,N/A
Inventory ,"Kenai Peninsula, Alaska",Marathon Petroleum Corporation,"Domestic Crude, International Crude",Operational,"United States, Alaska"
Kenai Refinery,Alaska,Marathon Petroleum Corporation,Renewable Diesel,"Operational, Decommissioned, Under Construction, Decommissioning","USA,Alaska"
Land,,Marathon Petroleum Corporation,,,N/A
LF Bioenergy ,,Marathon Petroleum Corporation,,"Operational, Under Construction, End-Of-Life",N/A
Long-Lived Assets,"Los Angeles, California",Marathon Petroleum Corporation,Heavy Crude,Operational,"United States, California"
Los Angeles Refinery,USA,Marathon Petroleum Corporation,"Refined Products, Crude Oil, Gasoline, Distillates, Natural Gas, Natural Gas Liquids, Other Hydrocarbon-Based Products",Operational,USA
Machinery,Market Areas,"MPLX LP, Third Parties","Crude Oil, Feedstocks, Refined Products, Natural Gas",Operational,"N/A 


The provided text ""Market Areas"" does not mention any countries or US states."
Mandan Refinery,"North Dakota, USA",Marathon Petroleum Corporation,"Oil, Crude Oil",,USA
Marine Fleets,Various Locations,,"Crude Oil, Refined Products",Operational,N/A
Marine Vessels,"Martinez, California, USA",Marathon Petroleum Corporation,"Crude Oil, Natural Gas, Natural Gas Liquids, Refined Products","Under Construction, Operational","USA, California"
Martinez Facility,"California, Martinez",Marathon Petroleum Corporation,"Petroleum, Refined Products, Renewable Diesel","Operational, Under Construction, Strategically Repositioned","USA, California"
California Refinery ,"USA Coastal and Great Lakes States, States Bordering Inland Waterways On Which We Operate, International Jurisdictions In Which We Operate","Marathon Petroleum Corporation, MPLX LP","Crude Oil, Natural Gas, Natural Gas Liquids, Feedstocks, Refined Products",Operational,"USA,"
Midstream,,"Marathon Petroleum Corporation, MPLX LP",Natural Gas Liquids,Operational,N/A
MPLX LP Pipeline,"District Of Columbia, Gallup","MPLX LP,7-Eleven Inc.,Marathon Petroleum Corporation","Crude Oil, Light Products, Natural Gas","Operational, End-Of-Life, Under Construction, Undergoing Impairment Evaluation",United States
MPLX LP crude oil and light product transportation and logistics infrastructure,,,"Crude Oil, Light Products",Operational,N/A
Natural Gas Gathering Pipelines,USA,"Marathon Petroleum Corporation, MPLX LP","Natural Gas, Natural Gas Liquids, Crude Oil",,USA
Other Energy Assets,"USA, Great Lakes States, Inland Waterways Jurisdictions","Marathon Petroleum Corporation, MPLX LP","Petroleum-Based Liquid, Crude Oil, Natural Gas","Under Construction, Operational, Ceased Use",USA
Pipeline,"USA, Great Lakes States, Coastal Areas, Inland Waterways, Permian Basin, Bakken Basins, Delaware Basin, Marcellus Region, Utica Region, Garyville, North Dakota, Native American Tribal Lands, Federal Lands","Marathon Petroleum Corporation, MPLX LP, Government Parties","Natural Gas Liquids, Other Hydrocarbon-Based Products, Oil, Natural Gas, Renewable Fuels, Chemicals, Renewable Diesel","Operational, Under Construction, End Of Life, Operational (Partially Shut Down), Under Litigation",United States
Pipeline And Terminal Infrastructure,,"Marathon Petroleum Corporation, MPLX LP","Natural Gas, Natural Gas Liquids, Refined Products","Operational, Impaired",N/A
Pollution Control Equipment,,,,,N/A
"Processing (Facilities, Equipment)","USA, Galveston Bay",Marathon Petroleum Corporation,"Crude Oil, Natural Gas, Natural Gas Liquids, Feedstocks, Refined Products, Other Hydrocarbon-Based Products, Renewables, Electricity",Operational,USA
Properties,"Martinez, California, Spiritwood, North Dakota, Gallup, East Texas","Marathon Petroleum Corporation, MPLX LP, ADM, Neste","Renewable Fuels, Crude Oil, Refined Products","Operational, Under Construction, End-Of-Life, Impaired, Under Impairment Review",United States
"Property, Plant And Equipment  ","Populated Areas, Environmentally Sensitive Waters, USA Coastal And Great Lakes States, States Bordering Inland Waterways On Which We Operate, International Jurisdictions In Which We Operate, California","MPLX LP, Marathon Petroleum Corporation","Crude Oil, Feedstocks, Refined Products, Renewable Diesel, Natural Gas, Natural Gas Liquids",Operational,"United States, California"
Rail Cars,,,Crude Oil,,N/A
Rail Transportation Systems,Market Areas,Marathon Petroleum Corporation,Refined Products,Operational,N/A
Railcars,,MPLX LP,"Crude Oil, Refined Products",,N/A
Railways,Various  Locations,"Marathon Petroleum Corporation, MPLX LP",Distillate Fuel,Operational,N/A
Refined Petroleum Products Infrastructure,"Galveston Bay, Texas, Garyville, Louisiana, Catlettsburg, Kentucky, Robinson, Illinois, Detroit, Michigan, El Paso, Martinez, Gallup, Gulf Coast, Mid-Continent, West Coast, Texas City, St. Paul Park, Minnesota, Canton, Ohio, Mandan, North Dakota, Salt Lake City, Utah, Los Angeles, California, Anacortes, Washington, Kenai, Alaska, Dickinson, Chicago","Marathon Petroleum Corporation, MPLX LP","Refined Products, Petroleum-Based Transporation Fuels, Crude Oil, Biodiesel, Renewable Diesel, Gasoline, Fuel Oil, Distillates, Other Hydrocarbon-Based Products, Chemicals","Operational, End-Of-Life, Idled, Under Construction",USA
Refineries,"Gallup, New Mexico; Los Angeles; Texas Gulf Coast Southeast Of Houston, Texas; Robinson, Illinois; Mandan, North Dakota; Salt Lake City, Utah; Martinez, Chicago; USAGC; LA CARB; Mid-Continent; West Coast; Galveston Bay; Garyville, Findlay","Marathon Petroleum Corporation, MPLX LP","Crude Oil, Refined Products, Propane, Heavy Fuel Oil, Gasoline, Jet Fuel, Diesel 
","Operational, Indefinitely Idled, Under Construction, Strategically Repositioning, Adversely Affected","United States, California, Texas, Illinois, North Dakota, Utah"
Refinery Processing Units,,,Crude Oil,,N/A
South Texas Gateway's Oil Export Facility,Refining & Marketing,"7-Eleven Inc., Marathon Petroleum Corporation",,"End-Of-Life, Operational","N/A 


Let me know if you have another location for me to analyze! 😊"
"Speedway's P&E (Facilities) 


Let me know when you are ready for the next cell!","Gallup refinery, USA; U.S. Coastal and Great Lakes States; States Bordering Inland Waterways","Marathon Petroleum Corporation, MPLX LP","Renewable Diesel, Petroleum-Based Liquid, Crude Oil, Feedstocks, Refined Products, Renewable Fuels, Chemicals 

",Decommissioned,USA
Terminals,"Fort Berthold Reservation, Lake Oahe, North Dakota","MPLX LP, Tesoro High Plains Pipeline Company LLC","Crude oil, Natural Gas","Operational, Under Litigation","USA, North Dakota"
Tesoro High Plains Pipeline,Permian Basin,MPLX LP,Natural Gas,Operational,"United States, Texas"
Transportation Fuel,"Findlay, Ohio","MPLX LP, Marathon Petroleum Corporation","Crude Oil, Light Products",Operational,"United States, Ohio"
transportation infrastructure,,MPLX LP,"Crude Oil, Refined Products",Under Impairment Review,N/A
Trucks,Market Areas,"MPLX LP, Marathon Petroleum Corporation","Crude Oil, Refined Products",Operational,N/A
Cogeneration Facility,"Madison, Wisconsin",Marathon Petroleum Corporation,Biobased Feedstocks,Operational,"United States, Wisconsin"
Virent's Advanced Biofuels Facility,"Market Areas, Refineries",Marathon Petroleum Corporation,"Refined Products, Propane",Operational,N/A
Trailers,Petroleum Refineries,,"Fuel, Refined Products",Operational,N/A
Utility Lines,USA,,Refined Products,,USA
Convenience Stores,"Populated Areas, Environmentally Sensitive Waters, USA Coastal And Great Lakes States, States Bordering Inland Waterways On Which We Operate, International Jurisdictions In Which We Operate",MPLX LP,"Light Products, Heavy Oils, Crude Oil, Renewable Fuels, Chemicals",Operational,USA
fleet of boats and barges,Galveston Bay,MPLX LP,"Oil, Natural Gas, Natural Gas Liquids, Refined Products",Operational,N/A
Energy Transfer Crude Oil Pipeline,"Spiritwood, North Dakota","Green Bison Soy Processing LLC,ADM,Marathon Petroleum Corporation",Soybean Oil,Operational,"USA, North Dakota"
Soybean Processing Complex,Spiritwood,Marathon Petroleum Corporation,Soybeans,Operational,Canada
