physical asset,location,ownership,commodity,status,Countries,USA states
Gallup Refinery,"USA Coastal and Great Lakes States,International Jurisdictions In Which We Operate,East Texas","MPLX LP,Marathon Petroleum Corporation","Crude Oil,Feedstocks,Refined Products,Renewable Diesel","Operational,End-Of-Life,Decommissioned,Under Construction,Decommissioning,Impaired",USA,Texas
above ground storage tanks,"Anacortes,Washington,Puget Sound","Marathon Petroleum Corporation,MPLX LP","Canadian Crude,International Crude,Crude Oil,Feedstocks,Refined Products,Renewable Fuels,Chemicals",Operational,USA,Washington
Anacortes Refinery,"Gallup Refinery,Martinez Refinery","MPLX LP,Marathon Petroleum Corporation",Renewable Diesel,"Decommissioned,Under Construction,Decommissioning",USA,
Bakken Pipeline Joint Venture,"Lake Oahe,North Dakota,USA,US Coastal Areas,The Great Lakes,Inland Waterways of the USA,Martinez,California","MPLX LP,Marathon Petroleum Corporation","Crude Oil,Petroleum Products,Crude Oil,Refined Products,Natural Gas,Natural Gas Liquids,Light Products,Heavy Crude Oils,Renewable Diesel,Renewable Fuels,Chemicals,Higher Value Products",Operational,USA,"California,North Dakota"
Barges,"Refineries,Midstream Facilities",Marathon Petroleum Corporation,,Under Construction,,
Canton Refinery,Ohio,Marathon Petroleum Corporation,Crude Oil,,USA,Ohio
Crowley Ocean Partners Llc And Its Four Subsidiaries,Bakken Basin,MPLX LP,Crude Oil,Operational,USA,
Crude Oil Infrastructure,"Lake Oahe,North Dakota,USA","MPLX LP,Marathon Petroleum Corporation","Crude Oil,Refined Products,Gasoline,Distillates,Natural Gas,Natural Gas Liquids,Other Hydrocarbon-Based Products,Renewables","Operational,Impaired",USA,North Dakota
Dakota Access Pipeline,"Dickinson,North Dakota",Marathon Petroleum Corporation,"Corn Crude Oil,Soybean Crude Oil,Fats And Greases",Operational,USA,North Dakota
Detroit Refinery,Detroit,Marathon Petroleum Corporation,Crude Oil,,USA,
"Dickinson,North Dakota (Renewable Fuels Facility)","Galveston Bay,Madison,Wisconsin",Marathon Petroleum Corporation,Biobased Feedstocks,"Under Construction,Operational",USA,Wisconsin
Distillate Hydrotreater Project,Gallup,Marathon Petroleum Corporation,"Crude Oil,Refined Products",Operational,,
Distribution System,Martinez Refinery,"Marathon Petroleum Corporation,MPLX LP","Fuel,Natural Gas,Renewable Diesel","Operational,Under Construction,End-Of-Life",,
El Paso Refinery,Texas,Marathon Petroleum Corporation,Crude Oil,,USA,Texas
Emission Controls,"Refineries,Pipelines,Processing Facilities,Fractionation Facilities,Treating Facilities","Marathon Petroleum Corporation,MPLX LP","Refined Products,Crude Oil,Natural Gas Liquids,Renewable Feedstocks,Petroleum-Based Transportation Fuels,Feedstocks,Renewable Fuels",Operational,,
Equipment,"Coastal States,Federal Lands,Native American Tribal Lands,Production Areas,Regulated Facilities,USA","Marathon Petroleum Corporation,MPLX LP,USA Army Corps of Engineers","Crude Oil,Refined Products,Natural Gas Liquids,Renewable Feedstocks,Fuel",Operational,USA,
Facilities,"Various Locations,District Of Columbia","Marathon Petroleum Corporation,MPLX LP","Petroleum Products,Refined Products,Crude Oil",Operational,USA,
Four Product Tankers,"Galveston Bay,USA","MPLX LP,Marathon Petroleum Corporation","Crude Oil,Refined Products,Natural Gas,Renewable Diesel,Natural Gas Liquids,Feedstocks",Operational,USA,
Galveston Bay Refinery,"Marcellus Basin,Permian Basin",MPLX LP,"Natural Gas,Crude Oil,Refined Petroleum Products",Operational,USA,
Gas Processing Plants,Washington,,"Crude Oil,Natural Gas,Natural Gas Liquids",Under Construction,USA,Washington
Gathering And Processing Facilities,"Findlay,Ohio,USA","MPLX LP,Marathon Petroleum Corporation","Crude Oil,Natural Gas,Refined Products",Operational,USA,Ohio
Information Technology Systems,,"Marathon Petroleum Corporation,MPLX LP","Refined Products,Crude Oil,Natural Gas,Natural Gas Liquids,Renewable Feedstocks",Operational,,
Inventory,"Kenai Peninsula,Alaska",Marathon Petroleum Corporation,"Domestic Crude,International Crudes",Operational,USA,Alaska
Kenai Refinery,Alaska,Marathon Petroleum Corporation,Renewable Diesel,"Operational,Decommissioned,Under Construction,Decommissioning",USA,Alaska
Land,,Marathon Petroleum Corporation,,,,
LF Bioenergy,,Marathon Petroleum Corporation,,"Operational,Under Construction,End-Of-Life",,
Long-Lived Assets,"Los Angeles,California",Marathon Petroleum Corporation,Heavy Crude,Operational,USA,California
Los Angeles Refinery,USA,Marathon Petroleum Corporation,"Refined Products,Crude Oil,Gasoline,Distillates,Natural Gas,Natural Gas Liquids,Other Hydrocarbon-Based Products",Operational,USA,
Machinery,Market Areas,"MPLX LP,Third Parties","Crude Oil,Feedstocks,Refined Products,Natural Gas",Operational,,
Mandan Refinery,"North Dakota,USA",Marathon Petroleum Corporation,Crude Oil,,USA,North Dakota
Marine Fleets,Various Locations,,"Crude Oil,Refined Products",Operational,,
Marine Vessels,"Martinez,California,USA",Marathon Petroleum Corporation,"Crude Oil,Natural Gas,Natural Gas Liquids,Refined Products","Under Construction,Operational",USA,California
Martinez Facility,"California,Martinez",Marathon Petroleum Corporation,"Petroleum,Refined Products,Renewable Diesel","Operational,Under Construction,Strategically Repositioned",USA,California
California Refinery,"USA Coastal and Great Lakes States,States Bordering Inland Waterways On Which We Operate,International Jurisdictions In Which We Operate","Marathon Petroleum Corporation,MPLX LP","Crude Oil,Natural Gas,Natural Gas Liquids,Feedstocks,Refined Products",Operational,USA,
Midstream,,"Marathon Petroleum Corporation,MPLX LP",Natural Gas Liquids,Operational,,
MPLX LP Pipeline,"District Of Columbia,Gallup","MPLX LP,7-Eleven Inc.,Marathon Petroleum Corporation","Crude Oil,Light Products,Natural Gas","Operational,End-Of-Life,Under Construction,Undergoing Impairment Evaluation",USA,
MPLX LP Crude Oil and light product transportation and logistics infrastructure,,,"Crude Oil,Light Products",Operational,,
Natural Gas Gathering Pipelines,USA,"Marathon Petroleum Corporation,MPLX LP","Natural Gas,Natural Gas Liquids,Crude Oil",,USA,
